_CustomObjectKey,ID_TITULO,ID_SERIE,ID_PLANO,DATA_SORTEIO
414477,36072,AA,"PMC60 ",2021-05-05
414478,65488,AA,"48PMK ",2021-05-05
414479,57007,AA,"PMA48 ",2021-05-05
414480,70521,AA,"PMF48 ",2021-04-07
414481,66776,AA,"PMI48 ",2021-04-07
414482,332250,AA,"A60PM ",2021-04-07
414483,413122,AA,"PM489 ",2021-08-07
414484,462265,AA,"PM489 ",2021-08-07
414485,293064,AA,"PM488 ",2021-08-07
414486,200506,AA,"A48PM ",2021-05-05
414487,67756,AA,"PMC48 ",2021-05-05
414488,360608,AA,"PM488 ",2021-08-07
414489,65751,AA,"PMD60 ",2021-05-05
414490,66711,AA,"PMO48 ",2021-05-05
414491,315909,AA,"A60PM ",2021-05-05
414492,57136,AA,"PMC60 ",2021-04-07
414493,559163,AA,"PM483 ",2021-12-04
414494,508867,AA,"PM488 ",2021-12-04
