_CustomObjectKey,CODIGO_PEDIDO
582,0000100451 - Venda Ativa
583,0000100454 - Venda Ativa
584,0000100453 - Venda Ativa
585,0000100427 - Venda Ativa
586,0000100455 - Venda Ativa
587,0000100468 - Venda Ativa
588,0000100467 - Venda Ativa
589,0000100469 - Venda Ativa
590,0000099502 - Venda Ativa
591,0000099507 - Venda Ativa
592,0000099505 - Venda Ativa
593,0000099506 - Venda Ativa
594,0000099495 - Venda Ativa
595,0000099496 - Venda Ativa
596,0000099491 - Venda Ativa
597,0000099486 - Venda Ativa
598,0000099489 - Venda Ativa
599,0000097205 - Venda Ativa
600,0000100041 - Venda Ativa
601,0000097121 - Venda Ativa
602,0000099751 - Venda Ativa
603,0000100032 - Venda Ativa
604,0000096993 - Venda Ativa
605,0000096992 - Venda Ativa
606,0000096988 - Venda Ativa
607,0000096978 - Venda Ativa
608,0000096973 - Venda Ativa
609,0000097003 - Venda Ativa
610,0000097002 - Venda Ativa
611,0000096963 - Venda Ativa
612,0000096958 - Venda Ativa
613,0000096931 - Venda Ativa
614,0000096949 - Venda Ativa
615,0000096950 - Venda Ativa
616,0000096953 - Venda Ativa
617,0000096952 - Venda Ativa
618,0000096939 - Venda Ativa
619,0000096945 - Venda Ativa
620,0000096944 - Venda Ativa
621,0000096925 - Venda Ativa
622,0000096924 - Venda Ativa
623,0000097052 - Venda Ativa
624,0000097050 - Venda Ativa
625,0000097005 - Venda Ativa
626,0000100192 - Venda Ativa
627,0000100186 - Venda Ativa
628,0000100184 - Venda Ativa
629,0000100195 - Venda Ativa
630,0000100172 - Venda Ativa
631,0000100169 - Venda Ativa
632,0000100164 - Venda Ativa
633,0000100001 - Venda Ativa
634,0000100158 - Venda Ativa
635,0000100152 - Venda Ativa
636,0000100086 - Venda Ativa
637,0000100087 - Venda Ativa
638,0000100062 - Venda Ativa
639,0000100048 - Venda Ativa
640,0000100049 - Venda Ativa
641,0000097194 - Venda Ativa
642,0000097193 - Venda Ativa
643,0000097176 - Venda Ativa
644,0000097182 - Venda Ativa
645,0000097186 - Venda Ativa
646,0000097162 - Venda Ativa
647,0000097168 - Venda Ativa
648,0000099994 - Venda Ativa
649,0000097553 - Venda Ativa
650,0000099981 - Venda Ativa
651,0000097739 - Venda Ativa
652,0000100147 - Venda Ativa
653,0000099992 - Venda Ativa
654,0000100149 - Venda Ativa
655,0000100144 - Venda Ativa
656,0000097733 - Venda Ativa
657,0000097730 - Venda Ativa
658,0000097702 - Venda Ativa
659,0000100137 - Venda Ativa
660,0000100141 - Venda Ativa
661,0000100132 - Venda Ativa
662,0000100099 - Venda Ativa
663,0000100101 - Venda Ativa
664,0000100092 - Venda Ativa
665,0000100095 - Venda Ativa
666,0000100094 - Venda Ativa
667,0000100369 - Venda Ativa
