_CustomObjectKey,id_titulo,id_titular,id_subscritor,id_cliente,num_titulo,serie,plano,origem,id_titulo_darwin
3472506,a0o6g00000H9MQWAA3,a0i6g00000AhcpoAAB,a0i6g00000AhcpoAAB,0016g00002RJobxAAD,10253,AD,A60PM,CAP,10253
3472507,a0o6g00000H9MQaAAN,a0i6g00000AhfebAAB,a0i6g00000AhfebAAB,0016g00002RJytbAAD,346326,AB,A60PM,CAP,346326
3472508,a0o6g00000H9MQbAAN,a0i6g00000Ahcm0AAB,a0i6g00000Ahcm0AAB,0016g00002RJycsAAD,12639,AB,PUB48,CAP,12639
3472509,a0o6g00000H9MQcAAN,a0i6g00000AhfegAAB,a0i6g00000AhfegAAB,0016g00002RJxlqAAD,10257,AD,A60PM,CAP,10257
3472510,a0o6g00000H9MQdAAN,a0i6g00000AhfekAAB,a0i6g00000AhfekAAB,0016g00002RJopaAAD,10258,AD,A60PM,CAP,10258
3472511,a0o6g00000H9MQeAAN,a0i6g00000AhcptAAB,a0i6g00000AhcptAAB,0016g00002RJo6gAAD,10260,AD,A60PM,CAP,10260
3472512,a0o6g00000H9MQgAAN,a0i6g00000AhfcQAAR,a0i6g00000AhfcQAAR,0016g00002RJxeTAAT,10262,AD,A60PM,CAP,10262
3472513,a0o6g00000H9MQkAAN,a0i6g00000AhfcaAAB,a0i6g00000AhfcaAAB,0016g00002RJoYyAAL,135116,AA,B36PM,CAP,135116
3472514,a0o6g00000H9MQmAAN,a0i6g00000AhfEvAAJ,a0i6g00000AhfEvAAJ,0016g00002RJxWuAAL,543393,AA,A48PM,CAP,543393
3472515,a0o6g00000H9MQnAAN,a0i6g00000AhfEwAAJ,a0i6g00000AhfEwAAJ,0016g00002RJxBOAA1,543394,AA,A48PM,CAP,543394
3472516,a0o6g00000H9MQpAAN,a0i6g00000AhfEzAAJ,a0i6g00000AhfEzAAJ,0016g00002RJr1dAAD,543395,AA,A48PM,CAP,543395
3472517,a0o6g00000H9MQtAAN,a0i6g00000AhfF3AAJ,a0i6g00000AhfF3AAJ,0016g00002RJzzhAAD,10270,AD,A60PM,CAP,10270
